scheme,time_ns,time_us,queue_bytes
dcqcn,2000344000,344.0,308112
dcqcn,2000345000,345.0,304968
dcqcn,2000346000,346.0,302872
dcqcn,2000347000,347.0,299728
dcqcn,2000348000,348.0,296584
dcqcn,2000349000,349.0,293440
dcqcn,2000350000,350.0,290296
dcqcn,2000351000,351.0,287152
dcqcn,2000352000,352.0,284008
dcqcn,2000353000,353.0,280864
dcqcn,2000354000,354.0,277720
dcqcn,2000355000,355.0,274576
dcqcn,2000356000,356.0,271432
dcqcn,2000357000,357.0,268288
dcqcn,2000358000,358.0,265144
dcqcn,2000359000,359.0,262000
dcqcn,2000360000,360.0,258856
dcqcn,2000361000,361.0,255712
dcqcn,2000362000,362.0,254664
dcqcn,2000363000,363.0,252568
dcqcn,2000364000,364.0,249424
dcqcn,2000365000,365.0,246280
dcqcn,2000366000,366.0,243136
dcqcn,2000367000,367.0,239992
dcqcn,2000368000,368.0,237896
dcqcn,2000369000,369.0,234752
dcqcn,2000370000,370.0,231608
dcqcn,2000371000,371.0,228464
dcqcn,2000372000,372.0,225320
dcqcn,2000373000,373.0,222176
dcqcn,2000374000,374.0,219032
dcqcn,2000375000,375.0,215888
dcqcn,2000376000,376.0,212744
dcqcn,2000377000,377.0,209600
dcqcn,2000378000,378.0,206456
dcqcn,2000379000,379.0,203312
dcqcn,2000380000,380.0,200168
dcqcn,2000381000,381.0,197024
dcqcn,2000382000,382.0,193880
dcqcn,2000383000,383.0,190736
dcqcn,2000384000,384.0,187592
dcqcn,2000385000,385.0,184448
dcqcn,2000386000,386.0,181304
dcqcn,2000387000,387.0,178160
dcqcn,2000388000,388.0,175016
dcqcn,2000389000,389.0,171872
dcqcn,2000390000,390.0,168728
dcqcn,2000391000,391.0,165584
dcqcn,2000392000,392.0,162440
dcqcn,2000393000,393.0,159296
dcqcn,2000394000,394.0,156152
dcqcn,2000395000,395.0,153008
dcqcn,2000396000,396.0,149864
dcqcn,2000397000,397.0,146720
dcqcn,2000398000,398.0,143576
dcqcn,2000399000,399.0,140432
dcqcn,2000400000,400.0,137288
dcqcn,2000401000,401.0,134144
dcqcn,2000402000,402.0,131000
dcqcn,2000403000,403.0,128904
dcqcn,2000404000,404.0,126808
dcqcn,2000405000,405.0,124712
dcqcn,2000406000,406.0,122616
dcqcn,2000407000,407.0,119472
dcqcn,2000408000,408.0,116328
dcqcn,2000409000,409.0,113184
dcqcn,2000410000,410.0,110040
dcqcn,2000411000,411.0,107944
dcqcn,2000412000,412.0,104800
dcqcn,2000413000,413.0,101656
dcqcn,2000414000,414.0,98512
dcqcn,2000415000,415.0,95368
dcqcn,2000416000,416.0,92224
dcqcn,2000417000,417.0,89080
dcqcn,2000418000,418.0,85936
dcqcn,2000419000,419.0,82792
dcqcn,2000420000,420.0,79648
dcqcn,2000421000,421.0,76504
dcqcn,2000422000,422.0,73360
dcqcn,2000423000,423.0,70216
dcqcn,2000424000,424.0,67072
dcqcn,2000425000,425.0,63928
dcqcn,2000426000,426.0,60784
dcqcn,2000427000,427.0,57640
dcqcn,2000428000,428.0,54496
dcqcn,2000429000,429.0,51352
dcqcn,2000430000,430.0,48208
dcqcn,2000431000,431.0,45064
dcqcn,2000432000,432.0,41920
