time_ns,aggregate_sending_gbps,aggregate_capacity_gbps,aggregate_utilization
2004545000,57.76,125.0,0.46208
2004546000,62.144000000000005,125.0,0.49715200000000004
2004547000,62.623999999999995,125.0,0.500992
2004548000,31.392,125.0,0.25113599999999997
2004549000,32.512,125.0,0.260096
2004550000,41.952000000000005,125.0,0.335616
2004551000,18.688000000000002,125.0,0.14950400000000003
2004552000,27.552000000000003,125.0,0.22041600000000003
2004553000,43.93600000000001,125.0,0.3514880000000001
2004554000,27.168000000000003,125.0,0.217344
2004555000,36.512,125.0,0.292096
2004556000,45.472,125.0,0.363776
2004557000,44.32,125.0,0.35456
2004558000,53.376,125.0,0.427008
2004559000,46.623999999999995,125.0,0.37299199999999993
2004560000,57.75999999999999,125.0,0.46207999999999994
2004561000,47.872,125.0,0.382976
2004562000,44.800000000000004,125.0,0.35840000000000005
2004563000,77.376,125.0,0.619008
2004564000,79.10400000000001,125.0,0.6328320000000001
2004565000,54.559999999999995,125.0,0.43648
2004566000,30.432,125.0,0.24345599999999998
2004567000,43.48800000000001,125.0,0.34790400000000005
2004568000,39.936,125.0,0.319488
2004569000,70.144,125.0,0.5611520000000001
2004570000,43.776,125.0,0.350208
2004571000,29.952000000000005,125.0,0.23961600000000005
2004572000,52.25599999999999,125.0,0.4180479999999999
2004573000,68.51200000000001,125.0,0.5480960000000001
2004574000,65.568,125.0,0.524544
2004575000,56.25599999999999,125.0,0.45004799999999995
2004576000,63.775999999999996,125.0,0.510208
2004577000,66.048,125.0,0.528384
2004578000,72.54400000000001,125.0,0.5803520000000001
2004579000,52.54399999999999,125.0,0.4203519999999999
2004580000,48.448,125.0,0.387584
2004581000,38.912,125.0,0.311296
2004582000,24.8,125.0,0.1984
2004583000,28.032000000000004,125.0,0.22425600000000004
2004584000,26.592000000000002,125.0,0.212736
2004585000,35.552,125.0,0.284416
2004586000,26.592000000000002,125.0,0.212736
2004587000,44.32,125.0,0.35456
2004588000,27.360000000000003,125.0,0.21888000000000002
2004589000,27.072000000000003,125.0,0.21657600000000002
2004590000,32.032000000000004,125.0,0.25625600000000004
2004591000,40.032000000000004,125.0,0.32025600000000004
