time_ns,max_queue_bytes,max_total_buffer_bytes
2001579000,99016,99016
2001580000,96432,96432
2001581000,93288,93360
2001582000,91680,91680
2001583000,89680,90728
2001584000,86536,86536
2001585000,83392,83392
2001586000,80248,80248
2001587000,76520,76520
2001588000,73840,73840
2001589000,70696,70696
2001590000,66968,66968
2001591000,64944,65016
2001592000,62848,62848
2001593000,59704,59704
2001594000,56560,56560
2001595000,53344,53344
2001596000,52296,52296
2001597000,52616,52616
2001598000,52152,52152
2001599000,49008,49008
2001600000,47376,47376
2001601000,44232,44232
2001602000,40848,40848
2001603000,37704,37704
2001604000,34560,34632
2001605000,32080,32080
2001606000,28936,28936
2001607000,25696,25696
2001608000,21992,22376
2001609000,19656,19656
2001610000,16416,16416
2001611000,13616,13616
2001612000,9816,9888
2001613000,7648,7720
2001614000,5552,5552
2001615000,5696,5696
2001616000,2240,2312
2001623000,1144,1144
2001630000,96,96
2001633000,96,96
2001638000,72,72
2001641000,96,96
2001642000,1048,1048
2001643000,240,240
2001652000,96,96
2001655000,2096,3144
2001656000,4192,7480
2001657000,7576,9768
2001658000,7576,9672
2001659000,7576,7816
2001660000,5384,5384
2001661000,4336,4336
2001662000,2096,2096
2001663000,1048,1048
2001664000,2096,3144
2001665000,1048,1192
2001666000,1048,1048
2001667000,1192,1264
2001668000,1288,2432
2001671000,1048,1048
2001672000,1576,1576
2001674000,144,144
2001676000,704,704
2001679000,2096,2096
2001680000,1048,1048
2001681000,1288,1288
2001683000,1144,1144
2001686000,240,240
2001687000,72,72
2001689000,72,72
2001692000,144,144
2001696000,1120,1120
2001697000,1048,1048
2001698000,1776,1776
2001699000,72,72
2001702000,1120,1120
2001705000,1048,1048
2001707000,1048,1048
2001710000,72,72
2001718000,560,560
2001720000,72,72
2001727000,72,72
2001728000,1048,1048
2001729000,1048,1048
2001730000,432,432
2001731000,72,72
2001732000,1192,1192
2001733000,96,96
2001737000,1048,1120
2001738000,3144,3144
2001739000,3672,3672
2001740000,1432,2552
2001744000,1048,1048
2001745000,1048,1048
2001746000,1048,1048
2001747000,1048,1048
2001748000,1048,1048
2001754000,72,72
2001758000,72,72
2001762000,96,96
2001767000,3144,3144
2001768000,3600,3600
2001769000,72,72
2001772000,560,560
2001774000,144,144
2001780000,1048,1048
2001781000,1360,1360
2001782000,96,96
2001785000,72,72
2001790000,72,72
2001794000,144,144
2001796000,72,72
2001798000,72,72
2001803000,72,72
2001811000,1120,1120
2001812000,432,432
2001828000,1144,1216
2001831000,1120,1120
2001832000,1288,1288
2001833000,240,240
2001840000,72,72
2001841000,72,72
2001843000,2096,2096
2001844000,5384,5384
2001845000,7336,7336
2001846000,9888,9888
2001847000,8224,8224
2001848000,7032,7032
2001849000,4936,4936
2001850000,2264,2264
2001851000,72,72
2001853000,216,216
2001854000,1120,1120
2001859000,3144,3144
2001860000,2480,2480
2001861000,1192,1192
2001863000,72,72
2001868000,1192,1288
2001869000,1048,1048
2001870000,2096,2096
2001871000,2096,2096
2001872000,1048,1048
2001874000,2168,2168
2001875000,1264,1264
2001885000,72,72
2001886000,72,72
2001887000,144,144
2001888000,1048,1048
2001889000,4336,4336
2001890000,4648,4648
2001891000,1360,1360
2001892000,72,72
2001909000,2096,2096
2001910000,3216,3216
2001911000,2408,2408
2001912000,96,168
2001917000,72,72
2001918000,96,96
2001924000,1048,1048
2001928000,96,96
2001936000,1048,1048
2001937000,4336,4336
2001938000,4576,5864
2001939000,2408,3456
2001940000,2192,2192
2001941000,2656,3776
2001942000,3144,4192
2001943000,3216,4504
2001944000,4624,4624
2001945000,1480,1480
2001946000,2096,2096
2001947000,5384,5384
2001948000,3528,3528
2001949000,4920,5256
2001950000,4040,4112
2001951000,240,240
2001952000,72,72
2001956000,72,72
2001957000,240,240
2001958000,1144,2288
2001959000,1120,1120
2001960000,144,144
2001961000,144,144
2001970000,72,72
2001974000,144,144
2001980000,1120,2168
2001981000,1192,1336
2001982000,72,72
2001984000,1048,1048
2001985000,4192,4192
2001986000,6528,6528
2001987000,4672,4672
2001988000,1288,1432
2001989000,2168,2168
2001990000,1192,1336
2002002000,5240,5240
2002003000,12088,12088
2002004000,19424,19424
2002005000,26200,26200
2002006000,35632,35632
2002007000,45136,45136
2002008000,51496,51496
2002009000,56736,56736
2002010000,60928,63192
2002011000,65120,66168
2002012000,73504,73504
2002013000,80840,80840
2002014000,88736,88832
2002015000,97216,97216
2002016000,102456,102456
2002017000,107696,107696
2002018000,113984,113984
2002019000,119152,119248
2002020000,124536,124536
2002021000,132432,132432
2002022000,142008,142008
2002023000,151440,151440
2002024000,159824,159824
2002025000,169184,169184
2002026000,178616,178616
2002027000,188048,188120
2002028000,197480,197480
2002029000,205688,205688
2002030000,206952,206952
2002031000,203808,203808
2002032000,201784,201784
2002033000,198640,198640
2002034000,196616,196616
2002035000,193472,193616
2002036000,190328,190328
2002037000,187184,187256
2002038000,184040,184040
2002039000,180896,180896
2002040000,177752,177824
2002041000,175096,175096
2002042000,171952,171952
2002043000,168808,168976
2002044000,165664,165664
2002045000,163080,163080
2002046000,159840,159840
2002047000,156696,156696
2002048000,153552,153552
2002049000,151456,151552
2002050000,149360,149528
2002051000,147360,147360
2002052000,144776,144776
2002053000,142680,142680
2002054000,139536,139536
2002055000,138072,138072
2002056000,134928,134928
2002057000,131784,131784
2002058000,128496,128568
2002059000,125352,125352
2002060000,122208,122424
2002061000,119064,119064
2002062000,115920,115992
2002063000,112776,113896
2002064000,110120,111168
2002065000,106976,106976
2002066000,105880,105880
2002067000,102736,102832
2002068000,100712,101760
2002069000,97568,100320
2002070000,95472,98616
2002071000,93472,97736
2002072000,91376,97664
2002073000,90328,96712
2002074000,91448,98072
2002075000,90400,97488
2002076000,89352,94608
2002077000,88304,91464
2002078000,89352,89352
2002079000,89496,89496
2002080000,87400,87400
2002081000,85304,85304
2002082000,82592,82592
2002083000,79448,79688
2002084000,76304,76304
2002085000,74280,74280
2002086000,72184,73400
2002087000,72184,72184
2002088000,72184,72184
2002089000,71376,71376
2002090000,70328,70328
2002091000,69424,69424
2002092000,67400,67400
2002093000,64160,64160
2002094000,60920,60920
2002095000,58264,58264
2002096000,56144,56144
2002097000,52880,52880
2002098000,50032,50128
2002099000,46256,46256
2002100000,44552,45600
2002101000,41168,41264
2002102000,37928,37928
2002103000,34784,34856
2002104000,31568,31568
2002105000,30664,30664
2002106000,27520,27520
2002107000,25424,25424
2002108000,24328,24328
2002109000,24944,24944
2002110000,24872,24872
2002111000,23016,23088
2002112000,19872,19872
2002113000,16488,16488
2002114000,14248,14248
2002115000,10888,10888
2002116000,8696,8696
2002117000,5552,6768
2002118000,2408,2408
2002122000,96,96
2002127000,144,240
2002132000,1144,1144
2002133000,144,144
2002134000,1048,1048
2002135000,2480,2480
2002136000,144,144
2002145000,1120,1120
2002146000,1048,1048
2002147000,1048,1048
2002148000,1048,1048
2002150000,2096,2096
2002151000,2096,2096
2002152000,240,312
2002161000,2096,2096
2002162000,5240,5240
2002163000,7896,7896
2002164000,11112,11112
2002165000,12592,12688
2002166000,12664,12664
2002167000,10928,10928
2002168000,7840,9936
2002169000,6888,10104
2002170000,3672,6008
2002171000,96,96
2002184000,704,704
2002188000,144,144
2002190000,144,144
2002198000,72,72
2002199000,1120,1120
2002200000,1048,1048
2002207000,96,96
2002213000,96,96
2002215000,1048,1048
2002216000,72,72
2002220000,144,144
2002223000,144,144
2002227000,72,72
2002228000,1048,1048
2002229000,4336,4336
2002230000,5456,5456
2002231000,5312,5312
2002232000,7088,7088
2002233000,6600,6600
2002234000,5312,5312
2002235000,4264,5312
2002236000,2096,3216
2002237000,1384,2432
2002238000,1048,1048
2002239000,3144,3144
2002240000,5384,5528
2002241000,6672,6672
2002242000,6528,6528
2002243000,6360,6360
2002244000,6360,6360
2002245000,6360,6360
2002246000,4624,4624
2002247000,1480,1480
2002250000,72,72
2002254000,144,144
2002261000,2096,2096
2002262000,6432,6528
2002263000,8864,9520
2002264000,9840,9936
2002265000,8696,8696
2002266000,6360,6528
2002267000,6848,6848
2002268000,7896,7896
2002269000,7280,7376
2002270000,6720,6720
2002271000,6720,7768
2002272000,6528,6528
2002273000,3384,3384
2002274000,800,800
2002286000,96,96
2002287000,1048,1048
2002291000,96,96
2002297000,96,96
2002298000,72,72
2002303000,72,72
2002304000,560,560
2002308000,96,96
2002311000,1048,1048
2002312000,3144,3240
2002313000,4432,4432
2002314000,4672,4672
2002315000,3480,4840
2002316000,1144,1144
2002318000,1048,1192
2002319000,1048,1048
2002320000,1048,1048
2002323000,72,72
2002324000,96,96
2002325000,2096,2096
2002326000,1048,1048
2002327000,1048,1048
2002328000,3384,3384
2002329000,3144,3144
2002330000,3144,3144
2002331000,3144,3144
2002332000,3704,3704
2002333000,2528,2528
2002335000,1048,1048
2002336000,1048,1048
2002337000,72,72
2002341000,144,144
2002342000,72,72
2002346000,2096,2096
2002347000,4896,4896
2002348000,4896,4896
2002349000,3384,3384
2002350000,1432,1504
2002353000,96,96
2002364000,560,560
2002367000,3576,3576
2002368000,1624,1624
2002372000,72,72
2002373000,72,72
2002375000,72,72
2002390000,72,72
2002395000,3144,3216
2002396000,6288,6288
2002397000,9504,9504
2002398000,10984,10984
2002399000,10912,12056
2002400000,10296,10368
2002401000,8200,8200
2002402000,4624,4720
2002403000,1480,1480
2002406000,560,560
2002411000,72,72
2002413000,1048,1048
2002414000,1048,1048
2002415000,1048,1120
2002416000,2528,2528
2002417000,1192,1192
